"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"EDUC 455 - DURKIN, D.",0.708,0.042,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 458A - DURKIN, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - NAVA-LANDEROS, I.",0.885,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - NAPLES, R.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - NAVA-LANDEROS, I.",0.483,0.069,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 499A - DURKIN, D.",0.962,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC C209A - ALLEN, W.R.",0.828,0.069,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC CM178 - HAMMER, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M102 - GARCIA, D.G.",0.25,0.281,NA,0.062,0.172,0.125,0.031,0.016,0.031,NA,NA,0.016,0.016
"EDUC M194B - ORELLANA, M.E.",0.632,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100 - GORLITSKY, L.E.",0.194,0.194,0.041,0.15,0.102,0.201,0.029,0.022,0.051,0.003,NA,0.01,0.003
"EE BIOL 100L - GORLITSKY, L.E.",0.718,0.065,0.206,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109 - FONG, C.R.",0.211,0.237,0.041,0.15,0.102,0.124,0.038,NA,0.056,0.015,NA,0.011,0.015
"EE BIOL 109L - DEBOER, T.",0.329,0.038,0.608,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA
"EE BIOL 112 - BUTH, D.G.",0.545,NA,0.182,NA,NA,0.091,NA,0.091,0.091,NA,NA,NA,NA
"EE BIOL 115 - BROWN, C.A.",0.304,0.072,0.072,0.144,0.08,0.112,0.144,0.024,0.008,0.024,NA,NA,0.016
"EE BIOL 116 - LIPMAN, A.J.",0.316,0.192,0.192,0.116,0.048,0.112,0.004,0.004,0.016,NA,NA,NA,NA
"EE BIOL 120 - BUCCIARELLI, G.",0.323,0.25,0.183,0.067,0.018,0.11,0.018,NA,0.03,NA,NA,NA,NA
"EE BIOL 122 - BUCCIARELLI, G.",0.337,0.232,0.126,0.126,NA,0.137,NA,NA,0.042,NA,NA,NA,NA
"EE BIOL 123B - KANE, T.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 129 - PINTER-WOLLMAN, N.",0.149,0.209,0.015,0.269,0.119,0.134,0.03,0.03,0.045,NA,NA,NA,NA
"EE BIOL 132 - LARISON, B.J.",0.2,0.533,NA,NA,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 151A - GORLITSKY, L.E.",0.284,0.119,0.09,0.134,0.119,0.194,0.015,0.015,0.03,NA,NA,NA,NA
"EE BIOL 156 - ALFARO, M.E.",0.439,0.122,0.244,0.098,0.024,0.073,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 158 - BARBER, P.H.",0.414,0.172,0.345,NA,NA,0.034,0.034,NA,NA,NA,NA,NA,NA
"EE BIOL 161 - KRAFT, N.J.",0.284,0.207,0.129,0.06,0.086,0.129,NA,0.017,0.06,0.009,NA,0.009,0.009
"EE BIOL 184 - SEARS, K.E.",0.338,0.207,0.062,0.11,0.034,0.179,0.014,0.007,0.048,NA,NA,NA,NA
"EE BIOL 232 - AMARASEKARE, P.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - AMARASEKARE, P.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - BLUMSTEIN, D.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - MARCOT, J.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL M131 - ROBINSON, C.M.",0.562,0.188,NA,0.125,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"EE BIOL M200A - KRAFT, N.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - DICKEY, D.",0.364,0.182,NA,0.091,0.182,0.182,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - WEST, A.I.",NA,0.077,NA,0.385,0.077,0.308,0.077,NA,0.077,NA,NA,NA,NA
"ENGCOMP 130A - SAMUELSON, M.G.",0.85,0.1,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130C - RUBINSON, G.J.",0.444,0.296,0.074,0.037,NA,0.111,NA,NA,0.037,NA,NA,NA,NA
"ENGCOMP 131B - DAVIS, M.E.",0.537,0.439,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131C - PRESCOTT, T.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - CROSBY, S.",0.773,NA,0.068,0.114,NA,NA,0.023,NA,NA,NA,NA,NA,0.023
"ENGCOMP 2 - HARTENBERGER, L.A.",0.535,0.395,0.023,NA,NA,NA,NA,0.023,NA,NA,NA,NA,0.023
"ENGCOMP 2 - HITCHNER, T.A.",0.095,0.357,NA,0.119,0.071,0.31,NA,0.024,0.024,NA,NA,NA,NA
"ENGCOMP 2 - LISOVSKY, K.F.",0.163,0.279,NA,0.163,0.093,0.256,NA,NA,0.023,NA,NA,0.023,NA
"ENGCOMP 2 - MARTINEZ, A.M.",0.708,0.125,NA,0.083,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - NEWBY, A.",0.477,0.25,0.045,0.045,0.068,0.091,0.023,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - SAMUELSON, M.G.",0.182,0.227,NA,0.25,0.159,0.091,NA,NA,0.045,NA,NA,NA,0.045
"ENGCOMP 2I - SHERWOOD, L.A.",0.4,0.4,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - AUGER-ZIVIC, C.",0.35,0.1,NA,0.15,0.1,0.05,0.05,0.05,0.15,NA,NA,NA,NA
"ENGCOMP 3 - CHRISTENSEN, T.S.",0.131,0.328,NA,0.148,0.033,0.311,0.049,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - CREESE, R.A.",0.409,0.242,NA,0.045,0.045,0.227,NA,0.015,NA,NA,NA,NA,0.015
"ENGCOMP 3 - DE, E.N.",0.318,0.455,0.045,0.091,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - DEUEL, N.A.",0.409,0.091,0.136,0.136,NA,0.136,0.045,NA,0.045,NA,NA,NA,NA
"ENGCOMP 3 - DICKEY, D.",0.364,0.273,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - FALLOWS, R.J.",0.415,0.185,NA,0.138,0.077,0.138,NA,NA,0.046,NA,NA,NA,NA
"ENGCOMP 3 - FRANKEL, E.P.",0.409,0.273,NA,0.091,0.045,0.182,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - GERRARD, L.",NA,0.316,NA,0.158,0.158,0.368,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - JAURRETCHE, C.M.",0.395,0.372,NA,0.047,0.023,0.14,NA,NA,NA,NA,0.023,NA,NA
"ENGCOMP 3 - JOHNSON, D.",0.095,0.048,NA,0.238,0.048,0.476,0.095,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - JULIANO, L.M.",0.364,0.227,0.227,0.045,0.045,0.045,0.045,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - KIPEN, D.M.",0.108,0.569,NA,0.031,NA,0.277,0.015,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MAASIK, S.",0.188,0.297,NA,0.109,0.031,0.25,0.062,0.016,0.047,NA,NA,NA,NA
"ENGCOMP 3 - MOE, M.L.",0.465,0.209,0.116,0.023,NA,0.14,NA,NA,0.023,NA,NA,NA,0.023
"ENGCOMP 3 - POPHAM, S.A.",0.059,0.039,NA,0.275,0.098,0.176,0.059,0.02,0.098,NA,NA,0.176,NA
"ENGCOMP 3 - PRESCOTT, T.L.",0.19,0.429,NA,0.048,NA,0.286,0.048,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - RODRIGUEZ DRISSI,",0.333,0.429,NA,0.048,NA,0.143,NA,NA,0.048,NA,NA,NA,NA
"ENGCOMP 3 - STEINBERG, S.K.",0.516,0.339,0.016,0.097,NA,0.016,0.016,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - STONE, B.D.",0.171,0.171,NA,0.195,0.22,0.146,0.024,NA,0.049,NA,NA,0.024,NA
"ENGCOMP 3 - SUSSMAN, D.B.",0.558,0.302,NA,0.023,NA,0.093,NA,NA,NA,NA,NA,NA,0.023
"ENGCOMP 3 - VINCENT, D.O.",0.714,0.095,0.143,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - FRETZ, R.I.",0.55,0.35,0.05,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - JOHNSON, D.",0.195,0.293,NA,0.073,0.024,0.39,NA,NA,NA,NA,NA,NA,0.024
"ENGCOMP 3D - JULIANO, L.M.",0.205,0.205,0.455,0.023,0.023,0.091,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - MATTENSON, L.M.",0.2,0.4,NA,0.062,NA,0.277,NA,NA,0.062,NA,NA,NA,NA
"ENGCOMP 3D - MEHDIZADEH, N.",0.205,0.341,NA,0.045,0.023,0.364,NA,NA,NA,NA,NA,NA,0.023
"ENGCOMP 3D - RODRIGUEZ DRISSI,",0.233,0.512,NA,NA,NA,0.256,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - VINCENT, D.",0.837,0.023,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - WESTRUP, L.A.",0.333,0.476,NA,0.143,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3E - WATSON, D.C.",0.227,0.545,NA,0.023,NA,0.182,NA,0.023,NA,NA,NA,NA,NA
"ENGCOMP 401 - WESTRUP, L.A.",0.615,0.077,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 100 - CHEUNG, K.",0.211,0.394,NA,0.099,0.042,0.239,NA,NA,NA,NA,NA,NA,0.014
"ENGL 106 - MO'E'HAHNE, H.",0.533,0.1,0.267,0.033,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ENGL 108 - STREETER, C.A.",0.562,0.281,0.125,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"ENGL 109 - CHEUNG, K.",0.1,0.167,NA,0.133,0.167,0.2,0.033,0.067,0.1,NA,NA,NA,0.033
"ENGL 10A - MCEACHERN, C.",0.14,0.224,NA,0.187,0.131,0.187,0.028,0.037,0.037,NA,0.009,0.009,0.009
"ENGL 10B - MAKDISI, S.",0.319,0.187,0.055,0.066,0.055,0.209,0.011,0.022,0.044,NA,NA,NA,0.033
"ENGL 110A - STEPHAN, M.",0.105,0.316,NA,0.211,NA,0.316,NA,NA,NA,NA,NA,NA,0.053
"ENGL 115D - ALLMENDINGER, B.",0.212,0.364,NA,0.061,0.182,0.061,0.03,NA,0.091,NA,NA,NA,NA
"ENGL 118A - HYDE, C.L.",0.4,0.3,0.067,0.033,0.033,0.133,NA,NA,0.033,NA,NA,NA,NA
"ENGL 118E - HALL, S.C.",0.321,0.25,0.214,0.036,NA,0.143,NA,0.036,NA,NA,NA,NA,NA
"ENGL 119 - HUEHLS, M.A.",0.296,0.259,0.037,0.185,NA,0.111,NA,NA,0.111,NA,NA,NA,NA
"ENGL 119 - MAKDISI, S.",0.667,0.214,NA,0.024,0.024,0.024,0.024,NA,0.024,NA,NA,NA,NA
"ENGL 120 - HUEHLS, M.A.",0.276,0.138,0.069,0.207,0.207,0.103,NA,NA,NA,NA,NA,NA,NA
"ENGL 122 - KAREEM, S.T.",0.517,0.379,0.034,NA,NA,0.069,NA,NA,NA,NA,NA,NA,NA
"ENGL 122 - ZIRULNIK, M.A.",0.286,0.286,NA,NA,0.071,0.286,0.071,NA,NA,NA,NA,NA,NA
"ENGL 130 - KORNBERG-WEISS, M.",0.118,0.529,NA,0.118,NA,0.176,0.059,NA,NA,NA,NA,NA,NA
"ENGL 132 - BEHDAD, A.",0.667,0.095,0.19,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ENGL 136 - KEVORKIAN, K.K.",0.8,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"ENGL 136 - MULLEN, H.R.",0.833,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 137 - D'AGUIAR, F.M.",0.846,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 137 - TORRES, J.J.",0.818,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 139 - STEPHAN, M.",0.25,0.179,NA,0.179,NA,0.286,0.036,0.036,NA,NA,NA,NA,0.036
"ENGL 140A - GERBER, A.",0.167,0.083,NA,0.167,0.083,0.25,NA,0.083,0.167,NA,NA,NA,NA
"ENGL 140B - FISHER, M.N.",0.083,0.25,NA,0.25,0.042,0.208,NA,NA,0.125,NA,NA,NA,0.042
"ENGL 141B - WEAVER, E.M.",0.5,0.25,NA,0.125,0.062,0.062,NA,NA,NA,NA,NA,NA,NA
"ENGL 142 - THOMAS, A.",0.444,0.333,0.111,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"ENGL 144 - GERBER, A.",0.3,0.233,NA,0.333,NA,NA,0.033,0.033,0.067,NA,NA,NA,NA
"ENGL 150A - DICKEY, S.J.",0.212,0.303,NA,0.182,NA,0.242,NA,NA,0.061,NA,NA,NA,NA
"ENGL 150B - WATSON, R.N.",0.219,0.344,0.031,0.156,0.094,0.094,NA,0.031,0.031,NA,NA,NA,NA
"ENGL 150C - BRAUNMULLER, A.R.",0.222,0.167,NA,0.167,NA,0.222,0.056,NA,0.111,NA,NA,NA,0.056
"ENGL 151 - SHUGER, D.K.",0.286,0.19,NA,0.048,0.095,0.19,0.095,NA,0.095,NA,NA,NA,NA
"ENGL 161C - KAREEM, S.T.",0.355,0.226,0.032,0.097,NA,0.29,NA,NA,NA,NA,NA,NA,NA
"ENGL 162A - SANCHEZ, J.L.",0.571,0.238,NA,0.143,NA,NA,0.048,NA,NA,NA,NA,NA,NA
"ENGL 164C - DIMURO, J.A.",0.038,0.115,NA,0.231,0.077,0.269,NA,0.077,0.115,0.038,NA,0.038,NA
"ENGL 166A - SILVA, C.S.",0.233,0.333,NA,0.133,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"ENGL 166C - COLACURCIO, M.J.",0.1,0.35,0.05,0.2,0.05,0.2,0.05,NA,NA,NA,NA,NA,NA
"ENGL 167B - BECK, B.S.",NA,0.625,NA,0.125,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ENGL 170A - SALWAY, M.C.",0.517,0.103,0.207,0.069,NA,0.103,NA,NA,NA,NA,NA,NA,NA
"ENGL 175 - SOLOMON, J.H.",0.444,0.074,0.259,0.148,NA,NA,NA,NA,0.074,NA,NA,NA,NA
"ENGL 177 - SOLOMON, J.H.",0.444,0.111,0.296,0.074,NA,0.037,NA,NA,NA,NA,NA,NA,0.037
"ENGL 181A - DIMURO, J.A.",0.182,0.273,NA,0.273,0.273,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 181B - ROTHBERG, M.P.",0.5,0.214,NA,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA
"ENGL 181C - WEAVER, E.M.",0.231,0.154,0.077,0.154,0.308,0.077,NA,NA,NA,NA,NA,NA,NA
"ENGL 182B - DICKEY, S.J.",0.154,0.462,0.231,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 183B - COLACURCIO, M.J.",0.417,0.25,NA,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"ENGL 184 - DECKER, J.L.",0.6,0.2,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGL 184 - MCEACHERN, C.",0.25,0.25,NA,0.083,0.167,0.083,NA,NA,0.167,NA,NA,NA,NA
"ENGL 184 - SANCHEZ, J.L.",0.889,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 195CE - DIMURO, J.A.",0.643,0.143,NA,NA,0.143,0.071,NA,NA,NA,NA,NA,NA,NA
"ENGL 200 - COHEN, M.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 203 - SNELSON, D.S.",0.923,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 20W - GOYAL, Y.",0.69,0.071,0.19,NA,0.024,NA,NA,NA,NA,NA,NA,NA,0.024
"ENGL 246 - FUCHS, B.",0.5,0.4,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 4W - GOYAL, Y.",0.423,0.219,0.036,0.097,0.026,0.112,0.031,NA,0.015,0.015,NA,NA,0.026
"ENGL 85 - MOTT, C.M.",0.459,0.262,0.016,0.066,0.033,0.131,0.016,NA,0.016,NA,NA,NA,NA
"ENGL 90 - LITTLE, A.L.",0.442,0.346,0.115,0.038,NA,0.058,NA,NA,NA,NA,NA,NA,NA
"ENGL M101B - LITTLE, A.L.",0.263,0.105,0.211,0.158,0.105,0.158,NA,NA,NA,NA,NA,NA,NA
"ENGL M102A - LING, J.",NA,0.35,NA,0.2,NA,0.4,NA,0.05,NA,NA,NA,NA,NA
"ENGL M103 - WOLF, S.M.",0.357,0.214,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M104A - YARBOROUGH, R.A.",0.383,0.234,NA,0.128,0.064,0.106,0.021,NA,0.043,NA,NA,NA,0.021
"ENGL M104C - MULLEN, H.R.",0.278,0.333,NA,0.056,NA,0.278,NA,NA,0.056,NA,NA,NA,NA
"ENGL M107A - ROWE, K.E.",0.105,0.316,0.053,0.053,0.211,0.105,0.105,NA,0.053,NA,NA,NA,NA
"ENGL M191E - MO'E'HAHNE, H.",0.375,0.125,0.375,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"ENGL M191P - MACFADYEN, D.W.",0.368,0.368,NA,0.105,NA,0.158,NA,NA,NA,NA,NA,NA,NA
"ENGL M192 - WILSON, R.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M50 - HORNBY, L.E.",0.386,0.228,0.07,0.123,0.035,0.14,NA,NA,NA,NA,NA,NA,0.018
"ENGR 110 - BULU-TACIROGLU, M.",0.232,0.248,0.12,0.112,0.096,0.16,0.016,0.008,0.008,NA,NA,NA,NA
"ENGR 112 - GRIMM, S.",0.136,0.273,0.045,0.159,0.114,0.227,0.023,NA,0.023,NA,NA,NA,NA
"ENGR 113 - ROSTAMIAN, F.D.",0.206,0.265,0.029,0.059,0.029,0.412,NA,NA,NA,NA,NA,NA,NA
"ENGR 182EW - VILLASENOR, J.D.",0.71,0.081,0.065,0.097,0.016,0.032,NA,NA,NA,NA,NA,NA,NA
"ENGR 183EW - BROWNE, D.G.",0.61,0.189,0.019,0.082,0.006,0.094,NA,NA,NA,NA,NA,NA,NA
"ENGR 185EW - BROWNE, D.G.",0.292,0.236,0.057,0.245,0.009,0.16,NA,NA,NA,NA,NA,NA,NA
"ENGR 188 - SAGHIZADEH, H.",0.545,0.182,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 201 - KUNG, K.C.",0.523,0.295,0.023,0.045,NA,0.114,NA,NA,NA,NA,NA,NA,NA
"ENGR 205 - HECHT, M.J.",0.773,0.136,NA,0.045,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"ENGR 213 - AHMADI, R.H.",0.625,0.075,0.25,NA,0.025,0.025,NA,NA,NA,NA,NA,NA,NA
"ENGR 215 - HUANG, B.K.",0.944,NA,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"ENGR 87 - AINSWORTH, E.A.",0.544,0.309,0.059,NA,NA,0.088,NA,NA,NA,NA,NA,NA,NA
"ENGR 96A - SCHMIDT, J.J.",0.686,NA,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96B - STAFSUDD, O.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96C - KAISER, W.J.",0.404,NA,0.586,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96E - SCHMIDT, J.J.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96G - SCHMIDT, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96R - SCHMIDT, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96R - SPEARRIN, R.M.",0.955,NA,0.023,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA
"ENV HLT 100 - COLLINS, M.D.",0.174,0.174,NA,0.261,0.174,0.217,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 140 - BOYD, W.C.",0.336,0.15,NA,0.08,0.08,0.159,0.062,0.035,0.097,NA,NA,NA,NA
"ENVIRON 163 - DELMAS, M.A.",0.31,0.408,0.042,0.028,0.014,0.169,0.014,NA,0.014,NA,NA,NA,NA
"ENVIRON 166 - GARRISON, N.J.",0.2,0.333,0.017,0.183,0.05,0.183,0.017,NA,0.017,NA,NA,NA,NA
"ENVIRON 180A - GARRISON, N.J.",0.181,0.417,0.056,0.097,0.028,0.194,0.014,NA,0.014,NA,NA,NA,NA
"ENVIRON 241 - DIACONESCU, P.L.",0.5,0.167,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 200A - CHEN, L.",0.143,0.114,0.571,0.086,NA,NA,NA,0.029,0.029,NA,NA,NA,0.029
"EPIDEM 232 - GORBACH, P.M.",0.722,0.222,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 242 - ZHANG, Z.",0.419,0.161,0.129,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 246 - HSU, P.T.",0.421,0.368,NA,0.053,0.053,0.105,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 247 - MAYEDA, E.",0.889,0.056,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 268 - BRADBURY, B.D.",0.682,0.136,0.136,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"EPIDEM M204 - ARAH, O.A.",0.667,0.185,0.111,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA
"EPIDEM M403 - SMITH, L.V.",0.84,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 1 - ESPOSITO, R.",0.297,0.164,0.241,0.077,0.056,0.087,0.041,0.005,0.005,0.005,0.01,0.005,0.005
"EPS SCI 103B - DAY, M.D.",0.3,0.35,0.1,NA,0.1,0.15,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 15 - DRAKE, J.",0.206,0.143,0.074,0.097,0.109,0.131,0.074,0.04,0.034,0.011,0.011,0.029,0.04
"EPS SCI 150 - PELTZER, G.F.",0.324,0.176,0.147,0.088,0.118,0.118,0.029,NA,NA,NA,NA,NA,NA
"EPS SCI 51 - KAVNER, A.",0.154,0.462,0.115,0.115,0.077,NA,0.077,NA,NA,NA,NA,NA,NA
"EPS SCI 61 - COFFEY, K.",0.261,0.217,0.174,0.13,0.043,0.043,0.043,0.043,0.043,NA,NA,NA,NA
"EPS SCI 9 - YOUNG, E.D.",0.211,0.211,0.014,0.172,0.081,0.186,0.035,0.035,0.049,NA,NA,0.004,0.004
"EPS SCI M7 - VELLI, M.C.",0.5,0.278,0.056,0.028,NA,0.139,NA,NA,NA,NA,NA,NA,NA
"EPS SCI M71 - AURNOU, J.M.",0.158,0.105,0.368,0.158,NA,0.053,0.053,NA,0.105,NA,NA,NA,NA
"ESL 300 - HUALPA, L.D.",0.667,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESL 300 - KELLEY, J.C.",0.182,0.455,NA,0.091,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ESL 301 - DICKENS, A.R.",0.692,0.231,NA,NA,NA,NA,NA,NA,0.077,NA,NA,NA,NA
"ESL 301 - HUALPA, L.D.",0.273,0.273,NA,0.091,0.182,NA,0.182,NA,NA,NA,NA,NA,NA
"ESL 301 - SUH, A.",0.357,0.429,0.143,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 106A - BROWNER, T.C.",0.667,0.125,0.167,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA
"ETHNMUS 161B - WENTEN, I.N.",0.958,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161H - WIMBOPRASETYO,",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161K - GUZMAN, J.A.",0.062,NA,0.875,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161L - ARABIFARD, M.",0.923,NA,0.038,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161L - HADADI, P.A.",0.182,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161L - POURJAVADY, A.H.",0.4,0.067,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161M - ADLER, S.I.",0.895,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161N - ASMAR, S.W.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161P - TUNSTALL, J.D.",0.347,0.02,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168A - LI, C.",0.886,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168B - LI, C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168F - KAUSHAL, A.",0.814,NA,0.136,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168O - VARIMEZOVA, T.T.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 181 - TAYLOR, T.D.",0.133,0.2,NA,0.133,0.2,NA,0.067,0.067,NA,0.133,NA,NA,0.067
"ETHNMUS 20A - GARLAND, S.J.",0.267,0.2,0.333,NA,0.067,NA,NA,NA,0.067,0.067,NA,NA,NA
