"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"NEUROSC M176 - TRAMO, M.J.",0.111,0.833,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 115 - GYLYS, K.H.",0.17,0.283,0.245,0.113,0.113,0.057,0.019,NA,NA,NA,NA,NA,NA
"NURSING 150B - PHELPS, L.L.",0.139,0.295,0.352,0.139,0.049,0.016,0.008,NA,NA,NA,NA,NA,NA
"NURSING 162A - STUDER, K.M.",NA,0.314,0.353,0.235,0.059,0.039,NA,NA,NA,NA,NA,NA,NA
"NURSING 168 - CUENCA, E.L.",0.047,0.465,0.349,0.07,0.047,NA,0.023,NA,NA,NA,NA,NA,NA
"NURSING 171 - WILEY, D.J.",0.767,0.209,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 197 - WILEY, D.J.",NA,0.857,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 20 - SALEM, B.E.",0.286,0.531,0.163,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 211 - CHEN, W.",NA,0.12,0.38,0.26,0.12,0.12,NA,NA,NA,NA,NA,NA,NA
"NURSING 216A - GAWLINSKI, A.F.",0.226,0.355,0.323,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 223 - VERZEMNIEKS, I.L.",0.267,0.533,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 224 - LAZAR, J.",0.434,0.333,0.162,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 225A - STUDER, K.M.",0.435,0.333,0.188,0.014,0.029,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229B - BAKER, K.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229B - BAKER, K.G. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229B - RUIZ, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229C - BAKER, K.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229C - BAKER, K.G. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229C - RUIZ, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 230B - BATES-JENSEN, B.M.",NA,0.116,0.348,0.275,0.145,0.087,NA,0.029,NA,NA,NA,NA,NA
"NURSING 232 - CADOGAN, M.",NA,0.545,0.182,NA,0.273,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 238A - FREDRICKSON, J.M.",0.143,0.5,0.214,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 238C - PIKE, N.A.",0.214,0.571,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 239A - CHOI, S.E.",0.019,0.308,0.519,0.096,0.058,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 252A - CHOI, K.R.",0.812,0.13,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 252B - CARPENTER, C.L.",0.471,0.4,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 264 - LEWIS, M.A.",0.893,0.036,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 3 - CARPENTER, C.L.",0.136,0.341,0.318,0.091,0.091,0.023,NA,NA,NA,NA,NA,NA,NA
"NURSING 403 - BATISTE-BROWN, Q.N",0.167,0.389,0.389,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 404 - BRECHT, M.",NA,0.889,NA,NA,0.056,NA,NA,0.056,NA,NA,NA,NA,NA
"NURSING 406 - DIXON, E.L.",0.389,0.333,0.056,0.111,NA,NA,0.111,NA,NA,NA,NA,NA,NA
"NURSING 438A - MCGRATH, N.E.",NA,0.929,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 438C - MCGRATH, N.E.",NA,0.923,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 465A - DEMMAN, B.L.",0.451,0.31,0.183,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 467 - DUDLEY, M.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 467 - KNOLL, M.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 467 - KNOLL, M.P. LEC 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 467 - KNOLL, M.P. LEC 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 470C - BUSH, N.",0.333,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 496B - VERZEMNIEKS, I.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 597 - CHOI, S.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OBGYN 19 - CHAZENBALK, G.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORL BIO 229B - MAIDA, C.A.",0.231,0.308,0.385,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORL BIO 260 - KIM, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBMED 260B - MCNITT-GRAY, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 100B - NORMORE, C.G.",0.111,0.339,0.239,0.106,0.089,0.028,0.022,0.017,0.006,NA,NA,NA,NA
"PHILOS 131 - SMITH, S.R.",0.114,0.371,0.171,0.029,0.143,0.057,0.029,0.057,NA,NA,NA,NA,0.029
"PHILOS 135 - KAPLAN, D.B.",NA,0.343,0.2,0.086,0.086,0.057,0.029,0.057,NA,NA,NA,NA,0.114
"PHILOS 136 - WALSH, S.",NA,0.367,0.1,0.033,0.067,0.133,0.033,NA,NA,NA,NA,NA,0.1
"PHILOS 152A - DEWITT, J.A.",NA,0.14,0.26,0.2,0.18,0.1,0.08,NA,NA,0.02,NA,0.02,NA
"PHILOS 166 - GLEB, G.T.",NA,0.235,0.206,0.088,0.353,0.029,0.029,0.029,NA,NA,0.029,NA,NA
"PHILOS 168 - HARRIS, M.C.",0.688,0.062,0.062,0.125,0.031,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 170 - BURGE, C.T.",NA,0.188,0.25,0.146,0.208,0.104,0.021,0.042,NA,NA,NA,NA,0.021
"PHILOS 173 - ROUSH, S.",0.149,0.298,0.234,0.106,0.17,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 177B - JOHNSON, M.C.",0.081,0.135,0.27,0.054,0.189,0.162,0.027,0.027,NA,NA,NA,NA,0.027
"PHILOS 2 - SCHAEFFER, L.J.",NA,0.549,0.088,0.11,0.077,0.044,0.044,NA,0.011,NA,NA,NA,NA
"PHILOS 21 - ROUSH, S.",0.166,0.366,0.11,0.124,0.097,0.034,0.034,0.014,NA,0.014,NA,NA,0.014
"PHILOS 22W - HERMAN, B.",NA,0.333,0.364,0.111,0.121,0.051,NA,0.01,NA,NA,NA,NA,NA
"PHILOS 31 - WALSH, S.",0.026,0.53,0.132,0.053,0.053,0.053,0.02,0.02,0.013,0.007,0.007,NA,0.046
"PHILOS 7 - HSU, A.",NA,0.262,0.236,0.226,0.123,0.046,0.046,0.01,0.005,NA,NA,NA,0.01
"PHILOS 8 - ELLIOTT, K.J.",NA,0.083,0.202,0.233,0.202,0.088,0.026,0.057,0.016,NA,0.005,NA,NA
"PHILOS 98T - GREENBERG, G.J.",NA,0.286,0.214,0.429,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS C111 - HILTUNEN, A.",NA,0.361,0.333,0.111,0.167,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS C115 - BURGE, C.T.",NA,0.118,0.294,0.132,0.176,0.162,0.029,NA,0.015,NA,NA,NA,0.015
"PHILOS C119 - JULIUS, A.J.",NA,0.19,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS C127B - KAPLAN, D.B.",0.016,0.226,0.113,0.161,0.194,0.097,0.065,0.065,NA,NA,NA,NA,NA
"PHILOS C156 - NORMORE, C.G.",0.027,0.227,0.2,0.173,0.107,0.107,0.04,0.027,0.013,0.013,NA,NA,NA
"PHILOS M118B - JOHNSON, M.C.",0.1,0.1,0.25,0.05,0.2,0.05,0.15,NA,NA,NA,NA,NA,0.1
"PHILOS M187 - LENEHAN, R.E.",NA,0.357,0.571,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 111A - ESDIN, J.",0.042,0.493,0.216,0.042,0.122,0.019,0.019,0.047,NA,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H.",0.2,0.3,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H. LEC 2",0.15,0.45,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H. LEC 3",NA,0.375,0.438,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H. LEC 4",0.056,0.556,0.278,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 121 - WATSON, R.H.",0.103,0.25,0.25,0.132,0.118,0.015,0.059,0.015,0.029,NA,NA,NA,0.029
"PHYSCI 13 - FRISCIA, A.R.",0.222,0.4,0.022,0.133,0.044,0.133,NA,0.022,NA,NA,NA,NA,NA
"PHYSCI 167 - LU, Q.",0.011,0.16,0.33,0.191,0.181,0.074,0.043,0.011,NA,NA,NA,NA,NA
"PHYSCI 175 - WHITE, S.A.",0.133,0.378,0.222,0.178,0.067,0.022,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 177 - GLANZMAN, D.L.",0.1,0.267,0.067,0.033,0.467,0.033,0.033,NA,NA,NA,NA,NA,NA
"PHYSCI 187A - AKIN, O.",NA,0.786,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 194A - HASSON, T.W.",NA,0.923,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 194A - MCEVOY, M.M.",0.889,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 200 - WOLLMAN, R.",0.944,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 5 - ESDIN, J.",0.072,0.877,0.028,0.007,NA,NA,NA,0.002,NA,NA,NA,NA,NA
"PHYSCI C126 - COLWELL, C.S.",0.116,0.488,0.093,0.116,0.163,NA,0.023,NA,NA,NA,NA,NA,NA
"PHYSCI C127 - CORREA, S.",0.094,0.656,0.156,0.062,0.031,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI C130 - ARNOLD, A.P.",NA,0.444,0.222,0.074,0.111,0.148,NA,NA,NA,NA,NA,NA,NA
"PHYSCI C152 - WHITING, W.C.",0.02,0.694,0.122,0.071,0.061,0.031,NA,NA,NA,NA,NA,NA,NA
"PHYSCI M140 - RENSEL, M.A.",0.35,0.5,0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI M145 - CHANDLER, S.H.",NA,0.769,0.077,NA,0.154,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 105A - NAOZ, S.",0.493,0.179,0.119,0.015,0.075,0.015,0.015,NA,0.015,NA,NA,0.015,0.03
"PHYSICS 110A - BACHTIS, M.",0.079,0.099,0.158,0.139,0.228,0.109,0.079,0.05,0.05,NA,NA,NA,0.01
"PHYSICS 115B - ZOCCHI, G.",0.102,0.559,0.203,0.102,NA,0.017,NA,NA,NA,NA,NA,NA,0.017
"PHYSICS 115C - VASSILIEV, V.V.",0.216,0.135,0.108,0.189,0.189,0.081,0.081,NA,NA,NA,NA,NA,NA
"PHYSICS 117 - WHITEHORN, N.",0.176,0.118,0.176,0.118,0.235,0.059,0.059,NA,NA,0.059,NA,NA,NA
"PHYSICS 131 - PUTTERMAN, S.J.",0.192,0.327,0.058,0.077,0.077,0.019,0.077,0.077,0.058,NA,NA,NA,0.019
"PHYSICS 132 - VASSILIEV, V.V.",0.097,0.161,0.129,0.226,0.032,0.161,0.065,0.032,0.065,NA,NA,NA,0.032
"PHYSICS 144 - BOZOVIC, D.",0.045,0.545,0.273,0.091,0.045,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 17 - ONG, R.A.",0.135,0.243,0.189,0.108,0.189,0.081,0.027,0.027,NA,NA,NA,NA,NA
"PHYSICS 180A - HUANG, H.Z.",0.3,0.1,0.1,0.3,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 180C - BROWN, S.",0.071,0.5,NA,0.214,0.071,0.071,NA,NA,NA,NA,NA,NA,0.071
"PHYSICS 180D - KOGAR, A.",0.2,0.4,0.1,NA,0.1,0.2,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 180E - CARTER, T.A.",0.083,0.333,0.167,0.083,0.083,0.167,NA,0.083,NA,NA,NA,NA,NA
"PHYSICS 180F - BACHTIS, M.",0.2,0.4,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 18L - WANG, G.",0.175,0.275,0.15,0.15,0.1,0.1,0.025,0.025,NA,NA,NA,NA,NA
"PHYSICS 19 - ARISAKA, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 192 - ARISAKA, K.",0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 192M - SAMANI, J.F.",NA,0.875,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 192S - SAMANI, J.F.",NA,0.88,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 1A - CORBIN, B.",0.018,0.226,0.06,0.071,0.226,0.065,0.054,0.167,0.095,NA,NA,NA,0.012
"PHYSICS 1A - KUSENKO, A.",0.213,0.404,0.245,0.101,0.011,0.011,0.005,0.011,NA,NA,NA,NA,NA
"PHYSICS 1A - KUSENKO, A. LEC 5",0.293,0.447,0.165,0.074,0.016,0.005,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 1A - WILLIAMS, G.A.",0.014,0.311,0.081,0.122,0.068,0.176,NA,0.162,0.041,NA,0.027,NA,NA
"PHYSICS 1B - DUMITRESCU, T.",0.036,0.16,0.183,0.249,0.178,0.112,0.041,0.03,0.012,NA,NA,NA,NA
"PHYSICS 1B - GUTPERLE, M.",0.023,0.149,0.171,0.217,0.189,0.137,0.051,0.046,NA,NA,NA,NA,0.017
"PHYSICS 1BH - HOLCZER, K.",0.888,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 1C - KANG, Z.",0.221,0.347,0.142,0.095,0.074,0.063,0.032,0.016,0.005,NA,0.005,NA,NA
"PHYSICS 1C - TUNG, N.C.",0.044,0.289,0.089,0.1,0.178,0.133,0.033,0.122,0.011,NA,NA,NA,NA
"PHYSICS 201Q - KUSENKO, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 210A - MUSUMECI, P.",0.027,0.432,0.162,0.189,0.054,0.108,NA,0.027,NA,NA,NA,NA,NA
"PHYSICS 215A - D'HOKER, E.",0.049,0.293,0.146,0.463,0.049,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 226B - GELMINI, G.B.",0.1,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 232B - BERN, Z.",0.083,0.25,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 241B - TSERKOVNYAK, Y.",0.167,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 242B - CHAKRAVARTY, S.",NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 262 - MIAO, J.",NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 291 - DUMITRESCU, T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 375 - BAUER, D.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K.",0.13,NA,0.348,0.435,0.087,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 10",0.077,0.115,0.423,0.269,0.077,0.038,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 11",NA,0.409,0.364,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 12",NA,0.308,0.346,0.192,0.077,0.077,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 2",NA,0.423,0.231,0.115,0.192,0.038,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 3",0.115,0.231,0.346,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 4",0.074,0.222,0.296,0.333,0.037,0.037,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 5",NA,0.565,0.261,0.13,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 6",0.12,0.44,0.2,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 7",0.074,0.111,0.37,0.222,0.185,0.037,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 8",0.037,0.556,0.222,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 9",0.074,0.259,0.593,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K.",0.368,0.474,0.105,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 2",0.214,0.429,0.214,0.071,0.036,NA,NA,NA,NA,0.036,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 3",NA,0.565,0.304,0.087,NA,NA,NA,NA,NA,NA,NA,NA,0.043
"PHYSICS 4BL - ARISAKA, K. LEC 4",0.13,0.522,0.174,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 5",NA,0.333,0.417,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 6",0.111,0.185,0.519,0.111,NA,0.074,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 7",0.192,0.231,0.269,0.115,0.192,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 8",0.2,0.16,0.32,0.16,0.16,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 9",0.263,0.579,0.053,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 5A - ONG, R.A.",0.031,0.203,0.151,0.12,0.219,0.115,0.026,0.089,0.031,NA,0.016,NA,NA
"PHYSICS 5A - RICH, M.",0.045,0.172,0.258,0.212,0.131,0.101,0.02,0.051,0.01,NA,NA,NA,NA
"PHYSICS 5B - BAUER, D.J.",0.138,0.348,0.166,0.083,0.099,0.072,0.044,0.022,0.028,NA,NA,NA,NA
"PHYSICS 5B - BAUER, D.J. LEC 2",0.11,0.412,0.154,0.159,0.06,0.038,0.033,0.027,0.005,NA,NA,NA,NA
"PHYSICS 5B - SCHRIVER, D.",0.144,0.713,0.083,0.05,0.011,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 5B - SCHRIVER, D. LEC 4",0.236,0.69,0.052,0.011,0.011,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 5C - SAMANI, J.F.",0.285,0.419,0.157,0.047,0.029,0.023,0.006,0.012,NA,NA,0.006,0.012,NA
"PHYSICS 5C - SAMANI, J.F. LEC 2",0.373,0.362,0.102,0.056,0.056,0.023,0.006,0.011,NA,0.006,0.006,NA,NA
"PHYSICS 98XA - HASSON, T.W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS C187A - BRUINSMA, R.F.",0.273,0.364,0.091,0.091,0.136,0.045,NA,NA,NA,NA,NA,NA,NA
"PHYSICS M180G - ARISAKA, K.",0.5,0.278,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 113B - PANAGIA, D.",0.221,0.337,0.171,0.11,0.088,0.011,NA,0.006,0.006,NA,0.006,NA,NA
"POL SCI 114B - TROJAN, C.",0.011,0.413,0.174,0.076,0.152,0.033,0.022,0.022,0.054,NA,0.011,NA,0.011
"POL SCI 116B - BARKER, K.",0.153,0.139,0.139,0.139,0.125,0.083,0.083,0.069,NA,0.014,NA,0.028,0.014
"POL SCI 119 - BRANSTETTER, J.G.",0.219,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 119 - BRANSTETTER, J.G. LEC 2",0.343,0.445,0.139,0.036,0.022,0.007,NA,NA,NA,NA,NA,NA,NA
"POL SCI 121A - CHATTERJEE, S.",NA,0.421,0.159,0.075,0.121,0.065,0.075,0.047,0.009,0.009,0.009,NA,NA
"POL SCI 123A - JOHNS, L.N.",0.109,0.195,0.266,0.125,0.109,0.07,0.078,0.023,0.008,0.008,NA,NA,NA
"POL SCI 124A - ROBERTS, T.L.",0.065,0.346,0.131,0.065,0.14,0.093,0.028,0.019,0.056,0.019,0.009,NA,NA
"POL SCI 126 - LARSON, D.W.",0.154,0.487,0.128,0.06,0.12,NA,0.009,0.009,NA,NA,0.017,NA,0.009
"POL SCI 138B - BERENJI, S.",0.024,0.309,0.163,0.187,0.154,0.033,0.057,0.024,NA,0.024,NA,NA,0.008
"POL SCI 139 - LEE, Y.B.",NA,0.269,0.227,0.143,0.16,0.076,0.008,0.067,NA,0.017,0.008,NA,NA
"POL SCI 140A - PERIS, W.E.",NA,0.548,0.148,0.13,0.061,0.07,NA,0.017,NA,NA,NA,NA,0.009
"POL SCI 141B - BAYLOR, C.A.",0.395,0.123,0.14,0.114,0.114,0.035,0.026,0.018,0.009,NA,0.009,0.009,NA
"POL SCI 145E - ORREN, K.J.",NA,0.333,0.316,0.281,0.035,0.018,NA,0.018,NA,NA,NA,NA,NA
"POL SCI 147C - JAMES, S.C.",0.087,0.452,0.221,0.087,0.067,0.01,NA,0.038,0.019,NA,NA,NA,0.01
"POL SCI 151A - POSNER, D.N.",NA,0.358,0.193,0.193,0.147,0.073,NA,0.009,NA,NA,0.018,NA,0.009
"POL SCI 151B - FAROLE, S.A.",0.067,0.542,0.175,0.1,0.025,0.033,0.042,0.008,NA,0.008,NA,NA,NA
"POL SCI 159A - TONG, J.",NA,0.229,0.229,0.114,0.143,0.143,0.029,0.029,0.057,NA,NA,NA,NA
"POL SCI 163A - ANDERSON, R.D.",0.055,0.473,0.182,0.182,0.055,0.018,NA,NA,NA,NA,NA,NA,NA
"POL SCI 164A - TREISMAN, D.S.",NA,0.239,0.283,0.204,0.124,0.035,0.053,0.044,0.009,NA,0.009,NA,NA
"POL SCI 169 - LOFCHIE, M.F.",NA,0.587,0.053,NA,0.173,0.067,NA,0.053,0.027,0.027,NA,NA,NA
"POL SCI 169 - ROBERTS, T.L.",0.071,0.485,0.162,0.061,0.111,0.051,0.01,0.01,0.01,0.01,0.01,0.01,NA
"POL SCI 171D - O'NEILL, B.",0.128,0.769,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 19 - LOHMANN, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 191A - LOHMANN, S.",0.545,0.136,0.091,0.091,0.045,0.091,NA,NA,NA,NA,NA,NA,NA
"POL SCI 191C - ORREN, K.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 191C - ZALLER, J.R.",0.031,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 195CE - TAUSANOVITCH, C.N.",NA,0.848,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 20 - WILKINSON, D.O.",0.485,0.346,0.059,0.027,0.022,0.012,0.01,0.005,0.005,0.005,NA,0.002,0.007
"POL SCI 200B - LEWIS, J.B.",0.273,0.273,0.091,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 204A - CHWE, M.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 218 - SHULMAN, G.M.",NA,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 240B - BLAIR, G.D.",NA,0.5,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083
"POL SCI 292B - GEDDES, B.",NA,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 30 - O'NEILL, B.",0.076,0.33,0.243,0.222,0.104,0.021,NA,NA,NA,NA,NA,NA,NA
"POL SCI 50 - THIES, M.F.",0.008,0.156,0.107,0.131,0.205,0.139,0.049,0.115,0.041,NA,0.025,NA,0.025
"POL SCI M191DC - DESVEAUX, J.A.",0.133,0.467,0.133,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI M195DC - DESVEAUX, J.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PORTGSE 11A - DE PAULA SANTOS, A",0.182,0.182,0.273,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PORTGSE M35 - MATEU, V.",0.6,0.2,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"PSYCH 10 - CLARK, C.M.",0.168,0.307,0.151,0.088,0.084,0.071,0.059,0.013,0.004,0.008,0.004,0.004,0.013
"PSYCH 10 - PAQUETTE-SMITH, M.",0.196,0.288,0.155,0.11,0.068,0.046,0.064,0.023,0.014,0.014,0.009,0.005,0.005
"PSYCH 100A - REISE, S.P.",0.262,0.321,0.146,0.046,0.079,0.033,0.029,0.038,0.004,0.004,0.004,0.004,0.029
"PSYCH 100A - STIGLER, J.W.",0.296,0.423,0.111,0.067,0.063,0.016,0.008,0.004,0.004,0.008,NA,NA,NA
"PSYCH 100B - FIRSTENBERG, I.",0.024,0.104,0.131,0.131,0.143,0.153,0.158,0.126,0.01,0.015,0.002,NA,NA
"PSYCH 101 - MCAULIFFE, S.P.",0.039,0.157,0.275,0.118,0.216,0.059,0.059,0.039,0.039,NA,NA,NA,NA
"PSYCH 110 - SHARPE, M.J.",0.015,0.224,NA,0.146,0.229,NA,0.112,0.18,NA,NA,0.068,NA,0.02
"PSYCH 112A - WASSUM, K.",0.1,0.325,0.25,0.05,0.05,0.15,0.05,NA,NA,NA,NA,NA,NA
"PSYCH 115 - ADHIKARI, A.",NA,0.234,0.084,0.121,0.132,0.106,0.059,0.143,0.044,NA,0.044,NA,0.026
"PSYCH 116 - BABIEC, W.E.",0.197,0.246,0.141,0.092,0.113,0.077,0.042,0.014,0.021,0.014,0.007,NA,0.007
