"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"MOL TOX 211A - HANKINSON, O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOL TOX 296B - HANKINSON, O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND 101 - NAIMAN, T.H.",0.111,0.611,0.167,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"MSC IND 102 - JOHNSON, G.L.",0.412,0.235,0.176,0.118,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"MSC IND 104A - FRANZEN, D.E.",0.103,0.436,0.231,0.103,0.051,0.026,NA,NA,NA,NA,NA,NA,NA
"MSC IND 107A - BEARD, J.R.",0.071,0.429,0.071,0.071,0.071,0.143,NA,0.071,NA,NA,NA,NA,NA
"MSC IND 111 - SHAPIRO, M.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND 115 - MOSELEY, A.M.",0.64,0.32,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND M103 - TRAMO, M.J.",0.172,0.483,0.31,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"MUSC 110A - HEUSER, F.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 110B - CHEN-HAFTECK, L.",NA,0.545,0.091,0.182,NA,0.091,NA,NA,NA,NA,0.091,NA,NA
"MUSC 114A - FLANAGAN LYSY, M.M",0.091,0.818,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 116 - YI, M.H.",NA,0.312,0.312,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 120A - MEITES, N.G.",0.038,0.5,0.154,0.154,0.038,0.115,NA,NA,NA,NA,NA,NA,NA
"MUSC 120A - PHELPS, B.J.",NA,0.125,0.25,0.292,0.208,0.083,0.042,NA,NA,NA,NA,NA,NA
"MUSC 185F - CROSS, T.J.",NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 185H - MCKEOWN, K.O.",NA,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 204 - SYER, K.R.",0.214,0.357,0.286,0.071,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 204 - SYER, K.R. LEC 2",0.286,0.571,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 20A - DE SILVA, D.L.",NA,0.185,0.111,0.111,0.37,0.074,NA,0.074,NA,NA,NA,NA,0.074
"MUSC 20A - LEFKOWITZ, D.S.",0.083,0.208,0.25,0.083,0.125,0.083,0.042,0.042,0.042,NA,NA,0.042,NA
"MUSC 20A - OBA, H.M.",0.1,0.45,0.25,0.05,0.05,NA,0.05,NA,NA,NA,NA,NA,NA
"MUSC 261E - KINDERMAN, W.A.",0.143,0.238,0.238,0.19,0.19,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 3 - DE SILVA, D.L.",0.114,0.571,0.057,0.057,0.086,NA,0.086,NA,NA,NA,NA,NA,0.029
"MUSC 495 - CROSS, T.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 50 - RODRIGUE, J.",0.053,0.684,0.211,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175A - LINDEMANN, J.H.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175D - DIMOND, T.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175E - AN, J.Y.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175F - DAVIS, J.D.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175G - CHENG, G.C.",NA,0.778,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185A - BASS, J.",NA,0.899,0.02,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA
"MUSC C185B - BASS, J.",NA,0.935,0.032,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA
"MUSC C185C - GONDEK, J.K.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185D - ANDERSON, D.P.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185E - ANDERSON, D.P.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185G - CROSS, T.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C186A - LENT, J.D.",0.16,0.72,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C480A - BASS, J.",NA,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C480E - ANDERSON, D.P.",NA,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C480G - CROSS, T.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C485E - AN, J.Y.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C485G - CHENG, G.C.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC M6A - SZABO, S.D.",0.5,0.333,NA,NA,0.083,0.083,NA,NA,NA,NA,NA,NA,NA
"MUSC M6A - SZABO, S.D. LEC 4",0.167,0.75,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC M6A - SZABO, S.D. LEC 5",0.462,0.462,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC M90T - WINKLE, M.D.",NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 125A - UPTON, E.R.",0.138,0.483,0.138,0.069,0.069,NA,NA,0.034,NA,NA,NA,NA,NA
"MUSCLG 126 - REDMOND, S.L.",0.35,0.4,0.15,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 12W - LE GUIN, E.C.",NA,0.741,0.207,0.017,NA,NA,0.017,NA,NA,NA,NA,NA,0.017
"MUSCLG 191P - GILDART, S.",0.364,0.273,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 245 - KNAPP, R.L.",0.133,0.6,0.133,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 7 - REPLOGLE, H.D.",0.079,0.548,0.159,0.056,0.042,0.029,0.011,0.011,0.005,NA,0.005,0.003,0.008
"NEURO 210A - MASMANIDIS, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEURO 211A - COLWELL, C.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEURO 215 - DONLEA, J.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEURO 240 - GANDAL, M.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEURO M202 - DE BIASE, L.M.",0.273,0.227,0.045,0.318,0.091,0.045,NA,NA,NA,NA,NA,NA,NA
"NEUROSC 10 - BABIEC, W.E.",0.065,0.224,0.121,0.103,0.159,0.056,0.075,0.028,0.019,NA,0.019,NA,NA
"NEUROSC 102 - LEBELLE, J.",NA,0.287,0.172,0.086,0.132,0.069,0.057,0.069,0.04,NA,0.04,NA,0.034
"NEUROSC 19 - POURATIAN, N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEUROSC CM123 - COLWELL, C.S.",0.074,0.444,0.259,0.037,0.111,0.037,NA,NA,NA,NA,NA,NA,NA
"NEUROSC M101A - CHANDLER, S.H.",0.036,0.173,0.071,0.096,0.173,0.132,0.112,0.112,0.025,0.03,0.02,NA,0.01
"NEUROSC M135 - BABIEC, W.E.",0.188,0.312,0.188,0.125,0.062,0.062,NA,0.062,NA,NA,NA,NA,NA
"NEUROSC M170 - TRAMO, M.J.",0.333,0.6,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 10 - SALEM, B.E.",0.02,0.451,0.412,0.098,NA,NA,NA,0.02,NA,NA,NA,NA,NA
"NURSING 150A - PHELPS, L.L.",0.033,0.246,0.459,0.164,0.049,0.025,NA,0.008,NA,NA,NA,NA,NA
"NURSING 152A - DIXON, E.L.",0.019,0.222,0.389,0.241,0.037,0.074,NA,0.019,NA,NA,NA,NA,NA
"NURSING 152B - CARPENTER, C.L.",0.037,0.259,0.5,0.167,0.037,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 161 - PIETERS, H.C.",0.024,0.19,0.286,0.286,0.214,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 162C - CUENCA, E.L.",NA,0.119,0.524,0.214,0.071,0.071,NA,NA,NA,NA,NA,NA,NA
"NURSING 174 - DEMMAN, B.L.",0.24,0.471,0.207,0.05,0.025,0.008,NA,NA,NA,NA,NA,NA,NA
"NURSING 200 - CARPENTER, C.L.",0.041,0.32,0.361,0.103,0.124,0.052,NA,NA,NA,NA,NA,NA,NA
"NURSING 204 - WOO, M.A.",0.075,0.321,0.34,0.208,0.057,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 212 - CHOI, S.E.",0.935,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 216C - GAWLINSKI, A.F.",0.073,0.244,0.463,0.171,0.049,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 220 - VERZEMNIEKS, I.L.",0.259,0.37,0.333,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229A - BAKER, K.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229A - EASTWOOD, J.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 229A - EASTWOOD, J.O. LEC 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 230A - BATES-JENSEN, B.M.",0.1,0.4,0.314,0.086,0.057,0.029,0.014,NA,NA,NA,NA,NA,NA
"NURSING 231 - AN, D.",0.296,0.327,0.173,0.122,0.051,0.02,0.01,NA,NA,NA,NA,NA,NA
"NURSING 238B - MCGRATH, N.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 239C - LAZAR, J.",0.756,0.171,0.049,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 250 - CHEN, W.",0.099,0.394,0.352,0.113,0.042,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 269 - CUENCA, E.L.",0.785,0.185,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 401 - BUSH, N.",0.444,0.111,0.333,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 402 - LAZAR, J.",0.889,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 405 - BROWN-SALTZMAN, K.",0.556,0.222,0.111,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 438B - FREDRICKSON, J.M.",NA,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 440 - FREDRICKSON, J.M.",0.786,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 462 - CHEN, W.",0.106,0.364,0.394,0.091,0.045,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 463 - PHELPS, L.L.",0.262,0.538,0.154,0.031,0.015,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 464 - JACOB, E.",0.515,0.212,0.227,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 470B - BUSH, N.",0.067,0.867,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 496A - VERZEMNIEKS, I.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 50 - ROBBINS, W.A.",0.237,0.356,0.22,0.068,0.068,0.034,0.017,NA,NA,NA,NA,NA,NA
"NURSING 54B - BATES-JENSEN, B.M.",NA,0.115,0.096,0.346,0.173,0.115,0.077,0.077,NA,NA,NA,NA,NA
"NURSING 596 - RUIZ, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING C155 - MENTES, J.C.",0.588,0.294,0.059,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING C255 - MENTES, J.C.",0.3,0.5,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"ORL BIO 212 - LUX, R.",0.062,0.312,0.25,0.125,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"ORL BIO 215A - JEWETT, A.",0.286,0.643,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORL BIO 260 - WANG, C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBMED 217 - KIM, G.J.",0.182,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 100A - NORMORE, C.G.",0.062,0.182,0.271,0.141,0.167,0.031,0.036,0.047,0.016,NA,0.016,0.005,0.016
"PHILOS 117 - HSU, A.",NA,0.439,0.171,0.146,0.073,0.098,0.024,NA,NA,NA,0.024,NA,0.024
"PHILOS 130 - SMITH, S.R.",NA,0.185,0.37,0.185,0.111,0.074,0.049,0.012,0.012,NA,NA,NA,NA
"PHILOS 154B - HIERONYMI, P.",0.043,0.174,0.174,0.109,0.283,0.087,NA,0.065,0.022,NA,NA,NA,NA
"PHILOS 167 - SCHAEFFER, L.J.",NA,0.357,0.214,0.286,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 170 - RESCORLA, M.A.",NA,0.106,0.106,0.106,0.213,0.106,0.043,0.17,0.064,0.043,NA,NA,0.021
"PHILOS 177B - JOHNSON, M.C.",NA,0.286,0.143,0.229,0.171,0.057,0.057,NA,NA,NA,NA,NA,NA
"PHILOS 181 - DUPRE, G.G.",NA,0.2,0.233,0.167,0.1,0.033,0.033,NA,0.033,NA,NA,NA,NA
"PHILOS 185 - DUPRE, G.G.",NA,0.182,0.182,0.303,0.182,0.03,NA,NA,NA,NA,NA,NA,NA
"PHILOS 189 - NORMORE, C.G.",0.143,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 191 - DOVER, D.J.",0.091,0.545,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 191 - GREENBERG, M.D.",0.062,0.125,0.438,0.188,0.188,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 21 - HSU, A.",0.005,0.133,0.176,0.223,0.17,0.133,0.08,0.011,0.016,0.005,NA,NA,0.011
"PHILOS 23 - ARMSTRONG, J.D.",NA,0.089,0.212,0.226,0.212,0.082,0.082,0.007,0.021,NA,0.007,NA,NA
"PHILOS 3 - DEWITT, J.A.",NA,0.162,0.257,0.162,0.27,0.074,0.027,0.007,NA,NA,NA,NA,0.007
"PHILOS 31 - LEVY, S.R.",0.062,0.383,0.117,0.117,0.086,0.055,0.078,0.047,0.016,0.016,NA,NA,0.008
"PHILOS 6 - GALLAGHER, K.J.",NA,0.206,0.322,0.221,0.166,0.02,0.015,0.01,NA,NA,NA,NA,0.005
"PHILOS 7 - GREENBERG, G.J.",NA,0.474,0.26,0.143,0.046,0.01,0.01,0.01,0.005,NA,NA,NA,0.005
"PHILOS C108 - HILTUNEN, A.",NA,0.5,0.281,0.188,0.031,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS C127A - KAPLAN, D.B.",0.017,0.207,0.259,0.241,0.121,0.086,0.017,0.017,NA,NA,NA,NA,NA
"PHILOS C151B - DEWITT, J.A.",NA,0.212,0.182,0.273,0.121,0.03,0.03,0.061,0.03,0.03,0.03,NA,NA
"PHILOS C156 - SHIFFRIN, S.",NA,0.173,0.25,0.288,0.115,0.135,0.019,NA,NA,NA,NA,NA,0.019
"PHILOS M175 - JOHNSON, M.C.",NA,0.133,0.333,0.4,0.067,0.067,NA,NA,NA,NA,NA,NA,NA
"PHILOS M24 - BAHTINA, D.",0.765,0.059,NA,NA,0.118,NA,0.059,NA,NA,NA,NA,NA,NA
"PHYSCI 107 - FRISCIA, A.R.",0.035,0.3,0.11,0.101,0.22,0.101,0.031,0.062,0.018,NA,0.009,NA,0.009
"PHYSCI 111L - COOPER, R.H.",0.2,0.35,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.05
"PHYSCI 111L - COOPER, R.H. LEC 2",NA,0.632,0.316,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H. LEC 3",NA,0.444,0.444,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H. LEC 4",0.056,0.556,0.167,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 147 - GLANZMAN, D.L.",0.032,0.258,0.048,0.081,0.226,0.081,0.032,0.129,0.081,NA,0.032,NA,NA
"PHYSCI 165 - FRYE, M.A.",0.045,0.591,0.152,0.152,NA,NA,0.015,NA,NA,NA,NA,0.015,NA
"PHYSCI 192 - PHELPS, P.E.",0.071,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 194A - HASSON, T.W.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 194A - MCEVOY, M.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 289B - ROWAT, A.C.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 5 - ESDIN, J.",0.026,0.585,0.181,0.094,0.038,0.02,0.029,0.006,0.003,NA,NA,NA,0.003
"PHYSCI C144 - GOMEZ-PINILLA, F.",0.046,0.292,0.262,0.2,0.077,0.046,0.031,0.046,NA,NA,NA,NA,NA
"PHYSCI CM123 - COLWELL, C.S.",NA,0.44,0.28,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI M135 - BABIEC, W.E.",0.208,0.458,0.167,0.042,0.042,NA,0.042,NA,NA,NA,NA,NA,NA
"PHYSICS 10 - HOLCZER, K.",0.296,0.37,0.136,0.062,0.074,0.025,0.012,NA,NA,NA,NA,NA,NA
"PHYSICS 105A - ZOCCHI, G.",0.1,0.275,0.2,0.05,0.1,0.1,0.075,0.1,NA,NA,NA,NA,NA
"PHYSICS 105B - BOZOVIC, D.",0.02,0.12,0.16,0.32,0.2,0.14,0.04,NA,NA,NA,NA,NA,NA
"PHYSICS 110B - TOMBOULIS, E.T.",NA,0.194,0.083,0.139,0.222,0.139,0.139,0.083,NA,NA,NA,NA,NA
"PHYSICS 112 - BROWN, S.",0.102,0.143,0.102,0.143,0.102,0.061,0.102,0.061,0.122,NA,NA,NA,0.041
"PHYSICS 115A - REGAN, B.C.",0.102,0.204,0.082,0.082,0.143,0.204,0.061,0.061,NA,NA,0.02,NA,0.02
"PHYSICS 115B - BRUINSMA, R.F.",0.059,0.157,0.216,0.235,0.137,0.098,0.02,NA,NA,0.02,NA,NA,0.02
"PHYSICS 117 - SCHNEIDER, C.",0.133,0.067,0.267,0.267,0.133,0.067,NA,NA,0.067,NA,NA,NA,NA
"PHYSICS 124 - KANG, Z.",0.143,0.214,0.107,0.179,0.143,0.143,NA,NA,0.036,NA,NA,NA,NA
"PHYSICS 131 - WANG, S.",0.054,0.152,0.109,0.141,0.185,0.098,0.12,0.076,0.043,0.011,NA,NA,NA
"PHYSICS 140A - JIANG, H.",0.133,0.4,0.067,0.2,0.067,0.067,NA,0.067,NA,NA,NA,NA,NA
"PHYSICS 17 - MIAO, J.",0.01,0.144,0.154,0.154,0.125,0.135,0.115,0.096,0.058,NA,NA,NA,0.01
"PHYSICS 180N - SAMANI, J.F.",0.455,0.182,0.182,NA,0.091,0.045,NA,NA,NA,NA,NA,NA,0.045
"PHYSICS 18L - WHITEHORN, N.",0.026,0.395,0.237,0.184,0.026,NA,NA,NA,NA,0.053,0.026,0.026,NA
"PHYSICS 192 - ARISAKA, K.",0.5,0.364,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 192M - SAMANI, J.F.",0.098,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 192S - SAMANI, J.F.",0.111,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 1A - WILLIAMS, G.A.",0.024,0.091,0.171,0.055,0.189,0.146,0.049,0.122,0.085,NA,0.037,NA,0.03
"PHYSICS 1AH - ROSENZWEIG, J.",0.072,0.275,0.275,0.217,0.058,0.043,0.043,NA,NA,0.014,NA,NA,NA
"PHYSICS 1B - NI, N.",0.079,0.2,0.079,0.05,0.193,0.079,0.064,0.129,0.057,NA,0.043,NA,NA
"PHYSICS 1B - NI, N. LEC 2",0.119,0.208,0.01,0.099,0.267,0.03,0.059,0.129,0.02,NA,0.059,NA,NA
"PHYSICS 1C - CORBIN, B.",0.01,0.272,0.039,0.049,0.194,0.049,0.049,0.165,0.049,0.019,0.039,0.039,0.01
"PHYSICS 1C - CORBIN, B. LEC 2",0.008,0.242,0.048,0.065,0.185,0.04,0.048,0.242,0.04,0.008,0.032,0.016,0.024
"PHYSICS 1C - SALTZBERG, D.",0.031,0.182,0.188,0.177,0.177,0.182,0.021,0.021,0.016,NA,0.005,NA,NA
"PHYSICS 220 - PUTTERMAN, S.J.",0.209,0.256,0.233,0.233,0.047,NA,NA,0.023,NA,NA,NA,NA,NA
"PHYSICS 221A - HAMILTON, P.",0.045,0.159,0.25,0.227,0.114,0.068,0.136,NA,NA,NA,NA,NA,NA
"PHYSICS 230A - KRAUS, P.J.",0.214,0.429,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 231A - D'HOKER, E.",0.111,0.389,0.167,0.167,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 241A - TSERKOVNYAK, Y.",0.154,0.462,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 242A - CHAKRAVARTY, S.",NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 291 - GUTPERLE, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 293 - TSERKOVNYAK, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 375 - ARISAKA, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 375 - CORONITI, F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 495 - HUDSON, E.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K.",0.083,0.75,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 10",0.04,0.72,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 2",0.143,0.667,0.095,0.048,0.048,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 3",0.091,0.682,0.136,0.045,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 4",0.087,0.783,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 5",0.037,0.519,0.259,0.148,NA,NA,0.037,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 6",0.037,0.852,0.037,NA,0.037,NA,NA,NA,NA,NA,NA,NA,0.037
"PHYSICS 4AL - ARISAKA, K. LEC 7",0.143,0.619,0.19,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 8",0.115,0.846,NA,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA
"PHYSICS 4AL - ARISAKA, K. LEC 9",0.105,0.737,0.105,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K.",0.071,0.286,0.429,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 10",0.154,0.538,0.077,0.077,0.115,NA,NA,NA,NA,NA,0.038,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 11",0.042,0.708,0.125,0.042,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 12",0.2,0.6,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 2",0.077,0.5,0.346,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 3",0.1,0.6,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 4",0.235,0.471,0.235,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 5",NA,0.75,0.208,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 6",0.133,0.333,0.2,0.267,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 7",NA,0.294,0.588,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 8",NA,0.182,0.773,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K. LEC 9",0.143,0.571,0.214,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 5A - CORONITI, F.",0.035,0.127,0.116,0.116,0.133,0.11,0.116,0.156,0.075,0.012,NA,NA,NA
"PHYSICS 5A - LANCASTER, J.A.",0.097,0.206,0.206,0.091,0.074,0.097,0.04,0.034,0.057,0.023,0.006,0.023,0.046
"PHYSICS 5A - SAKAI, S.",0.205,0.232,0.237,0.121,0.074,0.089,0.021,0.005,0.005,NA,NA,NA,NA
"PHYSICS 5A - SAMANI, J.F.",0.097,0.21,0.102,0.102,0.167,0.086,0.081,0.075,0.043,0.011,0.022,0.005,NA
"PHYSICS 5B - BAUER, D.J.",0.114,0.169,0.108,0.09,0.114,0.072,0.114,0.066,0.06,0.036,0.012,0.024,0.018
"PHYSICS 5B - NIEMANN, C.",0.011,0.328,0.158,0.153,0.148,0.038,0.022,0.077,0.044,0.011,NA,NA,0.011
"PHYSICS 5C - TUNG, N.C.",NA,0.31,0.113,0.089,0.107,0.101,0.095,0.101,0.03,0.024,0.024,NA,0.006
"PHYSICS 5C - TUNG, N.C. LEC 2",NA,0.322,0.117,0.088,0.099,0.105,0.105,0.088,0.029,0.012,0.018,NA,0.012
"PHYSICS 98XA - RAZINIA, Z.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS M122 - MORI, W.B.",0.133,0.2,0.133,0.067,0.133,NA,0.133,0.067,0.067,NA,NA,NA,0.067
"POL SCI 10 - PANAGIA, D.",0.123,0.269,0.189,0.14,0.146,0.054,0.017,0.02,0.006,0.006,NA,NA,0.009
"POL SCI 111C - BARKER, K.",0.03,0.14,0.25,0.2,0.09,0.08,0.06,0.05,NA,0.03,NA,NA,0.04
