"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"EE BIOL 115 - DINES, J.P.",0.457,0.086,0.35,0.029,0.007,0.05,NA,NA,0.021,NA,NA,NA,NA
"EE BIOL 116 - LIPMAN, A.J.",0.458,0.237,0.021,0.14,0.047,0.081,0.008,NA,0.008,NA,NA,NA,NA
"EE BIOL 120 - BUCCIARELLI, G.",0.58,0.167,0.159,0.029,0.014,0.036,NA,0.007,0.007,NA,NA,NA,NA
"EE BIOL 122 - BUCCIARELLI, G.",0.224,0.071,0.592,0.031,0.02,0.031,NA,NA,0.01,0.01,NA,NA,0.01
"EE BIOL 129 - LARISON, B.J.",0.386,0.193,0.07,0.088,0.053,0.175,0.018,NA,0.018,NA,NA,NA,NA
"EE BIOL 151A - GORLITSKY, L.E.",0.459,0.23,0.257,0.027,NA,0.027,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 158 - BARBER, P.H.",0.111,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 18 - LIPMAN, A.J.",0.373,0.255,0.059,0.118,0.039,0.098,0.02,NA,0.02,0.02,NA,NA,NA
"EE BIOL 199 - BARBER, P.H.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 232 - AMARASEKARE, P.A.",0.1,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 296 - BLUMSTEIN, D.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - GARUD, N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - LOHMUELLER, K.E.",0.429,0.286,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 87 - PALACIOS MEJIA, M.",0.304,NA,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL M200A - YEH, P.J.",0.833,NA,NA,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - JOHNSON, D.",0.205,0.25,0.068,0.114,0.114,0.205,NA,NA,0.023,NA,NA,0.023,NA
"ENGCOMP 130A - SAMUELSON, M.G.",0.95,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130C - RUBINSON, G.J.",0.667,0.205,0.103,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - JULIANO, L.M.",0.263,NA,0.711,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - CROSBY, S.",0.698,NA,0.14,0.07,0.023,NA,0.047,NA,NA,0.023,NA,NA,NA
"ENGCOMP 2 - DICKEY, D.",0.079,0.395,NA,0.105,NA,0.421,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - HITCHNER, T.A.",0.872,0.103,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - LISOVSKY, K.F.",0.182,0.432,NA,0.159,0.023,0.136,0.023,NA,0.023,NA,NA,NA,0.023
"ENGCOMP 2 - NEWBY, A.",0.588,NA,0.206,0.147,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - POPHAM, S.A.",0.077,0.154,NA,0.077,NA,0.462,NA,NA,0.077,0.077,NA,NA,0.077
"ENGCOMP 2 - SAMUELSON, M.G.",0.308,0.231,NA,0.385,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2I - KELLEY, J.C.",0.538,0.308,NA,NA,NA,NA,NA,NA,0.154,NA,NA,NA,NA
"ENGCOMP 3 - CHRISTENSEN, T.S.",0.596,0.246,NA,0.018,NA,0.14,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - CREESE, R.A.",0.422,0.266,NA,0.031,0.031,0.234,NA,NA,0.016,NA,NA,NA,NA
"ENGCOMP 3 - DAVIS, M.E.",0.682,0.227,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - DEUEL, N.A.",0.636,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - FALLOWS, R.J.",0.724,0.172,NA,0.034,0.034,0.034,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - HARTENBERGER, L.A.",0.862,0.092,0.031,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - HITCHNER, T.A.",0.818,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - JAURRETCHE, C.M.",0.488,0.349,NA,0.023,NA,0.14,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - KIPEN, D.M.",0.15,0.5,0.1,0.05,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MARTINEZ, A.M.",0.977,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MOE, M.L.",0.422,0.375,0.047,NA,0.016,0.141,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - PEITZMAN, F.C.",0.273,0.364,0.182,0.091,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - PRESCOTT-JOHNSON,",0.336,0.264,NA,0.144,0.032,0.176,0.016,NA,0.032,NA,NA,NA,NA
"ENGCOMP 3 - STEINBERG, S.K.",0.905,NA,NA,NA,NA,NA,0.048,NA,NA,0.048,NA,NA,NA
"ENGCOMP 3 - STONE, B.D.",0.146,0.098,NA,0.268,0.122,0.22,0.098,NA,0.049,NA,NA,NA,NA
"ENGCOMP 3 - SUSSMAN, D.B.",0.5,0.364,NA,NA,NA,0.136,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - DE, E.N.",0.477,0.318,0.045,0.045,NA,0.114,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - MATTENSON, L.M.",0.262,0.292,0.015,0.123,0.046,0.246,0.015,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - MCIVER, M.L.",0.744,0.186,NA,0.047,NA,0.023,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - MEHDIZADEH, N.",0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - PENNINGTON, M.",0.789,0.105,NA,NA,NA,NA,0.053,NA,0.053,NA,NA,NA,NA
"ENGCOMP 3D - RODRIGUEZ DRISSI,",0.523,0.136,0.318,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA
"ENGCOMP 3D - VINCENT, D.O.",0.924,NA,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - WEST, A.I.",0.6,0.15,NA,0.05,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3D - WESTRUP, L.A.",0.818,0.136,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3E - SUSSMAN, D.B.",0.632,0.263,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3E - WATSON, D.C.",0.231,0.231,0.231,0.154,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 401 - WESTRUP, L.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 404 - MEHDIZADEH, N.",0.875,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 5W - CHICHESTER, T.L.",0.55,0.15,0.125,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,0.025
"ENGL 100 - PEREZ-TORRES, R.",0.39,0.133,0.371,0.029,0.019,0.048,NA,NA,0.01,NA,NA,NA,NA
"ENGL 106 - MO'E'HAHNE, H.",0.44,0.08,0.32,NA,0.04,0.12,NA,NA,NA,NA,NA,NA,NA
"ENGL 109 - CHEUNG, K.",0.167,0.375,0.125,0.083,NA,0.208,0.042,NA,NA,NA,NA,NA,NA
"ENGL 10A - SHUGER, D.K.",0.273,0.391,0.136,0.073,0.018,0.091,NA,NA,NA,NA,NA,NA,0.018
"ENGL 10B - MAKDISI, S.",0.532,0.203,0.127,0.038,0.025,0.076,NA,NA,NA,NA,NA,NA,NA
"ENGL 110A - STEPHAN, M.",0.1,0.4,NA,0.2,0.05,0.25,NA,NA,NA,NA,NA,NA,NA
"ENGL 115B - STEPHAN, M.",0.273,0.318,NA,0.136,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ENGL 115D - ALLMENDINGER, B.",0.333,0.25,NA,0.083,0.125,0.167,NA,NA,0.042,NA,NA,NA,NA
"ENGL 117 - LOPEZ, M.K.",0.875,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042
"ENGL 118A - GROSSMAN, J.H.",0.25,0.25,NA,0.2,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"ENGL 119 - MAKDISI, S.",0.276,0.184,0.145,0.132,NA,0.105,0.053,0.053,0.026,NA,NA,0.013,0.013
"ENGL 120 - HUEHLS, M.A.",0.542,0.042,0.375,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 122 - DIMURO, J.A.",0.045,0.091,NA,0.318,0.136,0.182,NA,0.091,0.091,0.045,NA,NA,NA
"ENGL 130 - LEE, J.E.",0.227,0.455,0.136,0.091,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ENGL 136 - KEVORKIAN, K.K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 137 - D'AGUIAR, F.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 137 - TORRES, J.J.",0.833,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 139 - MULLEN, H.R.",0.375,0.375,NA,0.188,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 140A - THOMAS, A.",0.235,0.529,0.059,0.059,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"ENGL 141R - WEAVER, E.M.",0.714,0.143,NA,0.048,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"ENGL 145 - THOMAS, A.",0.385,0.385,0.038,NA,NA,0.192,NA,NA,NA,NA,NA,NA,NA
"ENGL 150A - WATSON, R.N.",0.5,0.136,0.045,0.045,NA,0.227,NA,NA,0.045,NA,NA,NA,NA
"ENGL 150B - DICKEY, S.J.",0.305,0.407,0.017,0.085,0.034,0.119,NA,NA,0.017,NA,NA,NA,0.017
"ENGL 151 - MCEACHERN, C.",0.095,0.238,NA,0.095,0.048,0.286,0.143,NA,0.048,NA,NA,NA,0.048
"ENGL 152 - MCEACHERN, C.",0.25,0.05,0.05,0.4,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ENGL 164C - GROSSMAN, J.H.",0.304,0.174,NA,0.217,0.174,0.13,NA,NA,NA,NA,NA,NA,NA
"ENGL 165A - SHAUB, K.S.",0.25,0.35,NA,0.1,0.1,0.15,0.05,NA,NA,NA,NA,NA,NA
"ENGL 166B - COLACURCIO, M.J.",0.368,0.368,0.053,NA,NA,0.211,NA,NA,NA,NA,NA,NA,NA
"ENGL 168 - CALDER, K.B.",0.4,0.15,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 169 - SHAUB, K.S.",0.13,0.609,NA,0.043,NA,0.174,NA,NA,NA,0.043,NA,NA,NA
"ENGL 170A - LOOBY, C.J.",0.158,0.211,NA,0.211,0.158,0.211,NA,NA,NA,NA,NA,NA,0.053
"ENGL 170B - HUEHLS, M.A.",0.682,0.273,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 171B - JAURRETCHE, C.M.",0.385,0.346,NA,0.038,0.038,0.192,NA,NA,NA,NA,NA,NA,NA
"ENGL 171C - JIN, J.",0.4,0.4,NA,0.08,NA,0.12,NA,NA,NA,NA,NA,NA,NA
"ENGL 173A - SCHMIDT, J.A.",0.227,0.364,NA,0.182,0.091,0.091,0.045,NA,NA,NA,NA,NA,NA
"ENGL 173C - MULLEN, H.R.",0.478,0.304,NA,NA,0.043,0.174,NA,NA,NA,NA,NA,NA,NA
"ENGL 174B - PEREZ-TORRES, R.",0.52,0.08,0.36,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 175 - SOLOMON, J.H.",0.238,0.048,0.571,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"ENGL 181A - DIMURO, J.A.",0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 183C - DECKER, J.L.",0.667,0.25,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ENGL 184 - CHEUNG, K.",0.4,0.1,NA,0.1,0.1,0.3,NA,NA,NA,NA,NA,NA,NA
"ENGL 184 - DECKER, J.L.",0.455,0.091,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,0.091
"ENGL 184 - STEFANS, B.K.",0.167,0.25,0.5,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 184 - WANG, X.",0.7,0.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ENGL 195CE - DIMURO, J.A.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 20W - GOYAL, Y.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 244 - CHISM, C.N.",0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 258 - ROTHBERG, M.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 4HW - GOYAL, Y.",0.938,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"ENGL 4W - GOYAL, Y.",0.579,0.185,0.062,0.051,0.015,0.067,0.015,0.01,0.01,NA,NA,NA,0.005
"ENGL 85 - MOTT, C.M.",0.597,0.247,NA,0.065,NA,0.078,NA,0.013,NA,NA,NA,NA,NA
"ENGL 90 - LITTLE, A.L.",0.686,0.029,0.229,NA,NA,0.014,NA,NA,NA,NA,NA,0.029,0.014
"ENGL 91B - DICKEY, S.J.",0.351,0.189,0.189,0.108,NA,0.135,NA,0.027,NA,NA,NA,NA,NA
"ENGL M101B - LITTLE, A.L.",0.5,0.312,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M102A - LING, J.",0.467,0.467,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ENGL M104A - YARBOROUGH, R.A.",0.395,0.105,0.263,NA,0.105,0.079,NA,NA,0.026,NA,NA,NA,0.026
"ENGL M105A - LOPEZ, M.K.",0.425,0.025,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025
"ENGL M107B - LEE, S.K.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M138 - SNELSON, D.S.",0.667,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067
"ENGL M192 - WILSON, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M270 - HEISE, U.K.",0.769,0.154,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 110 - BULU-TACIROGLU, M.",0.447,0.252,0.041,0.065,0.024,0.163,NA,NA,NA,0.008,NA,NA,NA
"ENGR 111 - BULU-TACIROGLU, M.",0.563,0.195,0.092,0.034,0.023,0.069,NA,NA,NA,NA,NA,NA,0.023
"ENGR 160 - ROSTAMIAN, F.D.",0.192,0.269,0.038,0.077,NA,0.423,NA,NA,NA,NA,NA,NA,NA
"ENGR 181EW - RUSSELL, T.A.",0.289,0.316,0.079,0.132,NA,0.184,NA,NA,NA,NA,NA,NA,NA
"ENGR 182EW - VILLASENOR, J.D.",0.859,NA,0.115,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"ENGR 183EW - BROWNE, D.G.",0.717,0.152,0.036,0.043,NA,0.051,NA,NA,NA,NA,NA,NA,NA
"ENGR 188EW - BROWNE, D.G.",0.312,0.299,0.052,0.104,0.013,0.195,NA,NA,0.013,NA,NA,NA,0.013
"ENGR 201 - KUNG, K.C.",0.956,NA,0.015,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 205 - HECHT, M.J.",0.781,0.188,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"ENGR 213 - AHMADI, R.H.",0.677,0.161,NA,0.065,0.032,0.065,NA,NA,NA,NA,NA,NA,NA
"ENGR 96C - KAISER, W.J.",0.23,0.049,0.705,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENV HLT 220 - COLLINS, M.D.",0.333,0.444,NA,0.111,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"ENV HLT C185B - COLE, B.L.",0.357,0.429,NA,0.143,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ENV HLT C200B - COLE, B.L.",0.786,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 140 - BOYD, W.C.",0.429,0.248,NA,0.15,0.045,0.105,0.008,NA,0.015,NA,NA,NA,NA
"ENVIRON 163 - DELMAS, M.A.",0.56,0.107,0.253,0.013,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 166 - GARRISON, N.J.",0.108,0.458,0.145,0.06,0.048,0.157,0.024,NA,NA,NA,NA,NA,NA
"ENVIRON 180A - GARRISON, N.J.",0.286,0.347,NA,0.071,0.02,0.255,0.01,NA,0.01,NA,NA,NA,NA
"ENVIRON M126 - MACDONALD, G.M.",0.314,0.314,0.057,0.029,0.171,0.086,NA,NA,0.029,NA,NA,NA,NA
"EPIDEM 200A - CHEN, L.",0.396,0.104,0.354,0.062,0.021,0.062,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 232 - GORBACH, P.M.",0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 242 - ZHANG, Z.",0.545,0.273,0.091,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 246 - HSU, P.T.",0.647,0.176,0.059,0.059,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 268 - BRADBURY, B.D.",0.706,0.176,NA,NA,NA,0.088,0.029,NA,NA,NA,NA,NA,NA
"EPIDEM M204 - ARAH, O.A.",0.412,0.235,0.176,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA
"EPIDEM M403 - SMITH, L.V.",0.636,0.045,0.273,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 1 - COFFEY, K.",0.192,0.273,0.02,0.131,0.071,0.141,0.071,0.03,0.04,NA,NA,NA,0.03
"EPS SCI 103B - DAY, M.D.",0.588,0.118,0.235,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 150 - PELTZER, G.F.",0.385,0.103,0.385,NA,0.051,0.051,NA,NA,NA,NA,NA,NA,0.026
"EPS SCI 200A - STIXRUDE, L.P.",0.312,0.312,0.062,0.062,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 200B - PAIGE, D.A.",0.182,0.455,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 3 - MARGOT, J.",0.187,0.182,0.232,0.111,0.051,0.086,0.04,0.01,0.051,0.005,0.015,0.025,0.005
"EPS SCI 51 - KAVNER, A.",0.172,0.034,NA,0.276,0.138,0.31,NA,NA,0.069,NA,NA,NA,NA
"EPS SCI 61 - COFFEY, K.",0.194,0.097,0.097,0.161,0.097,0.161,0.065,0.032,0.097,NA,NA,NA,NA
"EPS SCI 8 - BEGHEIN, C.",0.252,0.108,0.403,0.072,0.036,0.05,NA,NA,0.036,0.014,0.014,NA,0.014
"EPS SCI 9 - YOUNG, E.D.",0.52,0.105,0.287,0.023,0.018,0.041,0.006,NA,NA,NA,NA,NA,NA
"EPS SCI M118 - SCHOPF, J.W.",0.857,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPS SCI M71 - AURNOU, J.M.",0.316,0.105,0.421,0.105,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ESL 300 - HUALPA, L.D.",0.435,0.348,0.043,0.087,0.087,NA,NA,NA,NA,NA,NA,NA,NA
"ESL 300 - KELLEY, J.C.",0.273,0.455,NA,0.091,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"ESL 301 - GALVIN, M.E.",0.417,0.25,0.167,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ESL 301 - HUALPA, L.D.",0.667,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161B - WENTEN, I.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161L - ARABIFARD, M.",0.925,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161M - ADLER, S.I.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 161P - WHITE-CLAYTON, D.L",0.417,NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168A - LI, C.",0.833,0.083,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168F - KAUSHAL, A.",0.938,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 174 - SAVAGE, R.W.",0.538,0.231,0.077,0.077,NA,NA,0.077,NA,NA,NA,NA,NA,NA
"ETHNMUS 183 - BROWNER, T.C.",0.583,0.25,NA,NA,0.083,0.083,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 188 - BILAL, M.",0.533,0.2,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 188 - BLACK, L.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 20C - LEE, K.I.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 30 - TAYLOR, T.D.",0.404,0.222,0.152,0.071,0.02,0.101,NA,0.01,NA,NA,0.01,NA,0.01
"ETHNMUS 68A - LI, C.",0.909,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 68F - KAUSHAL, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 7 - POURJAVADY, A.H.",0.636,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91B - WENTEN, I.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91K - GUZMAN, J.A.",0.5,NA,0.429,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91P - WHITE-CLAYTON, D.L",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91Z - BRAGGER, D.M.",0.545,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M12A - DOLEAC, B.G.",0.15,0.15,0.425,0.025,0.025,0.05,0.025,0.05,NA,NA,NA,0.05,0.05
"ETHNMUS M134 - PRESTI, K.A.",0.778,0.111,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M25 - TRAN, K.N.",0.538,0.066,0.34,0.025,0.005,0.02,0.005,NA,NA,NA,NA,NA,NA
"ETHNMUS M50A - DE CASTRO, P.J.",0.123,NA,0.85,0.005,NA,0.011,0.011,NA,NA,NA,NA,NA,NA
"FILIPNO 1 - DOMINGO, N.P.",0.517,0.069,0.345,NA,0.046,0.023,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - GREENE, S.M.",0.111,0.037,0.593,0.037,NA,0.037,NA,NA,0.111,NA,0.074,NA,NA
"FILM TV 102A - ANDERSON, S.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 113 - BOWDRE, K.M.",0.738,0.19,NA,0.024,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122D - LITTENBERG, S.M.",0.165,0.058,0.736,0.017,NA,0.017,NA,NA,0.008,NA,NA,NA,NA
"FILM TV 122E - GRANADOS, A.A.",0.3,0.125,0.475,0.05,0.025,0.025,NA,NA,NA,NA,NA,NA,NA
"FILM TV 154 - MARIN, E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 155 - BARMINSKI, W.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 163 - MAQUILING, D.M.",0.462,0.154,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183B - KINBERG, M.H.",0.641,0.154,0.179,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"FILM TV 184B - NAGLE, P.G.",0.978,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 188A - LIEBING, H.",0.089,NA,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 1A - MCDONALD, W.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 206B - SCOTT, E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 208B - RAVETTO, K.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 215B - TRICE, J.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 270 - FARBER, S.E.",0.455,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 282A - LEVY, R.J.",0.773,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 287A - WILLIAMSON, G.P.",0.6,0.2,0.133,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"FILM TV 288A - FRANKLIN, A.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 292B - LEVY, R.J.",0.889,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 297A - MOCERI, N.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - BUCKLEY, N.L.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - NAGY, P.A.",0.778,0.111,0.056,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - POWELL, N.R.",0.923,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - RAVETTO, K.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - RICHARDSON, N.",0.762,0.048,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - ROSMAN, M.E.",0.417,0.417,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - VOORHEES, L.",0.188,0.032,0.734,0.009,NA,0.018,0.005,NA,NA,NA,NA,NA,0.014
"FILM TV 4 - KUNTZ, J.A.",0.262,0.053,0.524,0.022,0.004,0.053,0.013,NA,0.018,0.004,NA,NA,0.044
"FILM TV 402A - JOHNSON, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 408A - SHANNON, T.D.",0.458,0.208,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 410A - ROSMAN, M.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
