class,difference,department,Class_Cap
"EC ENGR 260A - RAHMAT-SAMII, Y.",-0.127792308,,"EC ENGR 260A - RAHMAT-SAMII, Y."
"ENGR 213 - AHMADI, R.H.",-0.1279,,"ENGR 213 - AHMADI, R.H."
"ECON 261A - MAZZOCCO, M.",-0.130669231,,"ECON 261A - MAZZOCCO, M."
"BIOENGR C104 - WONG, G.C.",-0.13105025,,"BIOENGR C104 - WONG, G.C."
"POL SCI 50 - THIES, M.F.",-0.137621421,,"POL SCI 50 - THIES, M.F."
"COM SCI 217A - ZHANG, L.",-0.1396,,"COM SCI 217A - ZHANG, L."
"PHYSICS 124 - KANG, Z.",-0.143543544,,"PHYSICS 124 - KANG, Z."
"STATS 419 - XU, H.",-0.1469,,"STATS 419 - XU, H."
"MGMTMSA 402 - CHO, J.",-0.147205894,,"MGMTMSA 402 - CHO, J."
"ARMENIA 101A - KOULOUJIAN, H.",-0.149,,"ARMENIA 101A - KOULOUJIAN, H."
"COM HLT 213 - BEYMER, M.R.",-0.154431138,,"COM HLT 213 - BEYMER, M.R."
"LING 170 - BAHTI0, D.",-0.159297502,,"LING 170 - BAHTI0, D."
"URBN PL 207 - MANVILLE, M.K.",-0.159558258,,"URBN PL 207 - MANVILLE, M.K."
"EDUC 405A - RAFI, F.H.",-0.188,,"EDUC 405A - RAFI, F.H."
"ART 150 - PERLMAN, H.",-0.197309091,,"ART 150 - PERLMAN, H."
"ESL 300 - HUALPA, L.D.",-0.2046,,"ESL 300 - HUALPA, L.D."
"COMM 101 - KASSABIAN, R.",-0.2049,,"COMM 101 - KASSABIAN, R."
"ANTHRO 141 - LOYD, H.M.",-0.220408809,,"ANTHRO 141 - LOYD, H.M."
"JEWISH M182A - SMOAK, J.D.",-0.222,,"JEWISH M182A - SMOAK, J.D."
"EC ENGR 101A - EMAMINEJAD, S.",-0.22870481,engineering,"EC ENGR 101A - EMAMINEJAD, S."
"EC ENGR M202A - SRIVASTAVA, M.B.",-0.233378579,engineering,"EC ENGR M202A - SRIVASTAVA, M.B."
"MGMTMSA 433 - PA0LIGAN, R.A.",-0.238406603,other,"MGMTMSA 433 - PA0LIGAN, R.A."
"MGMTMFE 402 - ROSSI, P.E.",-0.2443,other,"MGMTMFE 402 - ROSSI, P.E."
"ART HIS 124 - HARWELL, G.T.",-0.255832132,humanities,"ART HIS 124 - HARWELL, G.T."
"EPS SCI 61 - COFFEY, K.",-0.25588123,physical,"EPS SCI 61 - COFFEY, K."
"EC ENGR 209AS - CHEN, X.",-0.262237762,engineering,"EC ENGR 209AS - CHEN, X."
"CHICANO 105F - HARRIS, A.A.",-0.270469431,humanities,"CHICANO 105F - HARRIS, A.A."
"COMM 104 - MILLER, T.E.",-0.2723,social,"COMM 104 - MILLER, T.E."
"CHICANO 169 - ELLIS, H.",-0.2739,humanities,"CHICANO 169 - ELLIS, H."
"EPS SCI 51 - KAVNER, A.",-0.293000701,physical,"EPS SCI 51 - KAVNER, A."
"I M STD 155 - AGADJANIAN, V.",-0.356176923,social,"I M STD 155 - AGADJANIAN, V."
"EC ENGR 230A - YAO, K.",-0.3571,engineering,"EC ENGR 230A - YAO, K."
"MECH&AE 281 - KIM, C.",-0.357165666,engineering,"MECH&AE 281 - KIM, C."
"CH ENGR CM145 - PARK, J.",-0.3584,engineering,"CH ENGR CM145 - PARK, J."
"MATH 225A - HONDA, K.",-0.378891792,physical,"MATH 225A - HONDA, K."
"ENGL 119 - MAKDISI, S.",-0.395124775,humanities,"ENGL 119 - MAKDISI, S."
"RELIGN M10 - BONESHO, C.E.",-0.4438,humanities,"RELIGN M10 - BONESHO, C.E."
"ENGL 184 - DECKER, J.L.",-0.445454545,humanities,"ENGL 184 - DECKER, J.L."
"PHILOS 117 - HSU, A.",-0.488736737,humanities,"PHILOS 117 - HSU, A."
"MGMTMSA 435 - DI GAETANO, K.",-0.508187912,other,"MGMTMSA 435 - DI GAETANO, K."
"Mgmtmsa 435 - Di Gaetano, K.",-0.508187912,other,"MGMTMSA 435 - Di Gaetano, K."
"Philos 117 - Hsu, A.",-0.488736737,humanities,"PHILOS 117 - Hsu, A."
"Engl 184 - Decker, J.L.",-0.445454545,humanities,"ENGL 184 - Decker, J.L."
"Relign M10 - Bonesho, C.E.",-0.4438,humanities,"RELIGN M10 - Bonesho, C.E."
"Engl 119 - Makdisi, S.",-0.395124775,humanities,"ENGL 119 - Makdisi, S."
"Math 225a - Honda, K.",-0.378891792,physical,"MATH 225A - Honda, K."
"Ch Engr Cm145 - Park, J.",-0.3584,engineering,"CH ENGR CM145 - Park, J."
"Mech&ae 281 - Kim, C.",-0.357165666,engineering,"MECH&AE 281 - Kim, C."
"Ec Engr 230a - Yao, K.",-0.3571,engineering,"EC ENGR 230A - Yao, K."
"I M Std 155 - Agadjanian, V.",-0.356176923,social,"I M STD 155 - Agadjanian, V."
"Eps Sci 51 - Kavner, A.",-0.293000701,physical,"EPS SCI 51 - Kavner, A."
"Chicano 169 - Ellis, H.",-0.2739,humanities,"CHICANO 169 - Ellis, H."
"Comm 104 - Miller, T.E.",-0.2723,social,"COMM 104 - Miller, T.E."
"Chicano 105f - Harris, A.A.",-0.270469431,humanities,"CHICANO 105F - Harris, A.A."
"Ec Engr 209as - Chen, X.",-0.262237762,engineering,"EC ENGR 209AS - Chen, X."
"Eps Sci 61 - Coffey, K.",-0.25588123,physical,"EPS SCI 61 - Coffey, K."
"Art His 124 - Harwell, G.T.",-0.255832132,humanities,"ART HIS 124 - Harwell, G.T."
Mgmtmfe 402 - Rossi P.E.,-0.2443,other,MGMTMFE 402 - Rossi P.E.
Mgmtmsa 433 - Panaligan R.A.,-0.238406603,other,MGMTMSA 433 - Panaligan R.A.
"Ec Engr M202a - Srivastava, M.B.",-0.233378579,engineering,"EC ENGR M202A - Srivastava, M.B."
"Ec Engr 101a - Emaminejad, S.",-0.22870481,engineering,"EC ENGR 101A - Emaminejad, S."
